Escenario 3

Parametros agente
radioAgente	3.0
radioObstaculos	20.0
cantidadAgentes	300.0
cantidadObjetivos	1.0
rangoDeInteraccion	25.0


Parametros del modelo
c3	0.2
zonaVirtual	15.0
parametroObstaculos	1.0
velMax	4.0
MaxPol	180.0
c1	0.01
MaxExt	610.0
c2	0.2

Iteracion	Extension	Polarizacion	Factor colision	Consistencia extension	Consistencia polarizacion	Calidad


78	142.2248	18.4748	0.0000	0.7668	0.8974	0.8321	
79	142.0373	17.8551	0.0000	0.7672	0.9008	0.8340	
80	142.0296	17.9019	0.0000	0.7672	0.9005	0.8339	
81	141.9514	17.4903	0.0000	0.7673	0.9028	0.8351	
82	141.7644	17.0639	0.0000	0.7676	0.9052	0.8364	
83	141.7333	16.6898	0.0000	0.7677	0.9073	0.8375	
84	141.7401	16.3952	0.0000	0.7676	0.9089	0.8383	
85	141.6414	16.1260	0.0000	0.7678	0.9104	0.8391	
86	141.6394	15.2556	0.0000	0.7678	0.9152	0.8415	
87	141.8443	15.3821	0.0000	0.7675	0.9145	0.8410	
88	142.0087	14.7084	0.0000	0.7672	0.9183	0.8427	
89	142.0976	14.7267	0.0000	0.7671	0.9182	0.8426	
90	142.0317	14.1854	0.0000	0.7672	0.9212	0.8442	
91	141.8356	13.6730	0.0000	0.7675	0.9240	0.8458	
92	141.7106	13.8178	0.0000	0.7677	0.9232	0.8455	
93	141.6171	13.6520	0.0000	0.7678	0.9242	0.8460	
94	141.5186	12.9956	0.0000	0.7680	0.9278	0.8479	
95	141.4557	12.8600	0.0000	0.7681	0.9286	0.8483	
96	141.3183	12.5063	0.0000	0.7683	0.9305	0.8494	
97	141.1546	12.7615	0.0000	0.7686	0.9291	0.8489	
98	141.1699	12.7318	0.0000	0.7686	0.9293	0.8489	
99	141.0803	11.6247	0.0000	0.7687	0.9354	0.8521	
100	141.0807	11.4080	0.0000	0.7687	0.9366	0.8527	
101	141.0453	11.5157	0.0000	0.7688	0.9360	0.8524	
102	141.0548	11.5851	0.0000	0.7688	0.9356	0.8522	
103	141.0251	11.2975	0.0000	0.7688	0.9372	0.8530	
104	140.9902	11.0839	0.0000	0.7689	0.9384	0.8536	
105	140.9924	10.8176	0.0000	0.7689	0.9399	0.8544	
106	140.9594	10.1918	0.0000	0.7689	0.9434	0.8561	
107	140.9628	10.5367	0.0000	0.7689	0.9415	0.8552	
108	140.9510	10.3256	0.0000	0.7689	0.9426	0.8558	
109	141.0065	10.2314	0.0000	0.7688	0.9432	0.8560	
110	141.0332	9.8686	0.0000	0.7688	0.9452	0.8570	
111	141.1489	9.7977	0.0000	0.7686	0.9456	0.8571	
112	141.2844	9.8477	0.0000	0.7684	0.9453	0.8568	
113	141.4105	9.6306	0.0000	0.7682	0.9465	0.8573	
114	141.5965	9.9786	0.0000	0.7679	0.9446	0.8562	
115	141.7957	9.8907	0.0000	0.7675	0.9451	0.8563	
116	141.9654	10.2748	0.0000	0.7673	0.9429	0.8551	
117	142.1123	10.7947	0.0000	0.7670	0.9400	0.8535	
118	142.3305	10.9693	0.0000	0.7667	0.9391	0.8529	
119	142.5180	10.5053	0.0000	0.7664	0.9416	0.8540	
120	142.8027	10.0486	0.0000	0.7659	0.9442	0.8550	
121	143.0104	10.3756	0.0000	0.7656	0.9424	0.8540	
122	143.1947	10.4854	0.0000	0.7653	0.9417	0.8535	
123	143.2757	10.4715	0.0000	0.7651	0.9418	0.8535	
124	143.2386	10.8717	0.0000	0.7652	0.9396	0.8524	
125	143.2849	11.0309	0.0000	0.7651	0.9387	0.8519	
126	143.2713	10.4111	0.0000	0.7651	0.9422	0.8536	
127	143.3428	10.7210	0.0000	0.7650	0.9404	0.8527	
128	143.3117	10.4976	0.0000	0.7651	0.9417	0.8534	
129	143.3269	10.7253	0.0000	0.7650	0.9404	0.8527	
130	143.3571	10.6323	0.0000	0.7650	0.9409	0.8530	
131	143.3466	10.3937	0.0000	0.7650	0.9423	0.8536	
132	143.3678	10.6492	0.0000	0.7650	0.9408	0.8529	
133	143.3513	11.0937	0.0000	0.7650	0.9384	0.8517	
134	143.4628	10.7245	0.0000	0.7648	0.9404	0.8526	
135	143.5497	10.6450	0.0000	0.7647	0.9409	0.8528	
136	143.7093	10.8017	0.0000	0.7644	0.9400	0.8522	
137	143.8973	10.8321	0.0000	0.7641	0.9398	0.8520	
138	144.0046	10.9968	0.0000	0.7639	0.9389	0.8514	
139	144.2508	10.9929	0.0000	0.7635	0.9389	0.8512	
140	144.4215	10.8250	0.0000	0.7632	0.9399	0.8516	
141	144.5916	11.0538	0.0000	0.7630	0.9386	0.8508	
142	144.7424	10.7329	0.0000	0.7627	0.9404	0.8515	
143	144.8217	10.5691	0.0000	0.7626	0.9413	0.8519	
144	144.9177	11.1252	0.0000	0.7624	0.9382	0.8503	
145	144.8557	11.0213	0.0000	0.7625	0.9388	0.8507	
